Date,Product_SKU,Units_Sold,Unit_Price_EUR
2026-01-09,SKU-1001,42,31.65
2026-02-06,SKU-1004,44,18.65
2026-02-24,SKU-1004,47,11.15
2026-02-21,SKU-1002,49,27.51
2026-02-18,SKU-1004,36,19.31
2026-01-05,SKU-1002,44,18.74
2026-01-17,SKU-1004,19,47.05
2026-01-08,SKU-1004,36,46.88
2026-02-01,SKU-1001,12,35.16
2026-02-18,SKU-1003,8,39.72
2026-01-29,SKU-1004,33,43.19
2026-01-31,SKU-1002,20,21.36
2026-02-11,SKU-1004,33,25.72
2026-01-25,SKU-1001,31,19.7
2026-02-20,SKU-1004,27,36.58
2026-01-14,SKU-1003,36,45.3
2026-01-07,SKU-1003,6,27.55
2026-02-01,SKU-1001,50,16.54
2026-01-02,SKU-1004,24,29.58
2026-02-27,SKU-1001,31,11.73
2026-02-23,SKU-1004,42,16.8
2026-01-25,SKU-1002,1,40.81
2026-01-28,SKU-1002,26,30.54
2026-02-08,SKU-1003,30,46.38
2026-02-18,SKU-1001,25,41.34
2026-02-19,SKU-1002,34,41.09
2026-01-01,SKU-1002,28,47.98
2026-02-14,SKU-1004,24,32.79
2026-01-29,SKU-1002,33,26.53
2026-01-18,SKU-1003,27,23.83
2026-02-16,SKU-1003,30,33.98
2026-02-21,SKU-1002,41,17.08
2026-01-15,SKU-1002,6,41.93
2026-02-07,SKU-1003,3,43.66
2026-03-02,SKU-1001,6,44.71
2026-01-07,SKU-1004,1,40.16
2026-02-27,SKU-1003,16,20.74
2026-01-21,SKU-1002,23,21.6
2026-01-02,SKU-1002,11,20.2
2026-01-02,SKU-1002,43,20.91
