Datum;Artikelnummer;Menge;Preis
15.02.2026;SKU-1004;35;43,28
19.01.2026;SKU-1004;15;30,95
30.01.2026;SKU-1001;26;36,99
14.02.2026;SKU-1003;43;35,23
21.01.2026;SKU-1001;48;21,93
01.02.2026;SKU-1002;4;22,25
31.01.2026;SKU-1001;20;46,68
08.01.2026;SKU-1003;48;16,32
02.01.2026;SKU-1003;9;10,33
20.01.2026;SKU-1001;38;42,77
25.01.2026;SKU-1004;11;43,11
22.01.2026;SKU-1001;25;18,01
27.01.2026;SKU-1001;14;32,93
20.02.2026;SKU-1004;38;17,75
13.01.2026;SKU-1001;43;25,59
17.01.2026;SKU-1004;2;23,0
07.01.2026;SKU-1004;19;10,71
17.01.2026;SKU-1002;21;42,44
27.02.2026;SKU-1002;22;27,16
16.02.2026;SKU-1003;44;13,85
02.02.2026;SKU-1004;36;23,74
14.01.2026;SKU-1004;50;49,41
08.02.2026;SKU-1002;5;39,01
28.01.2026;SKU-1001;9;16,78
22.02.2026;SKU-1002;18;40,35
02.01.2026;SKU-1003;24;23,54
15.01.2026;SKU-1001;19;19,4
02.01.2026;SKU-1004;9;33,19
26.01.2026;SKU-1001;21;11,56
10.01.2026;SKU-1001;25;44,64
03.01.2026;SKU-1002;9;23,63
16.02.2026;SKU-1004;5;32,82
11.01.2026;SKU-1002;37;13,26
29.01.2026;SKU-1003;24;45,62
15.02.2026;SKU-1001;30;45,86
