sale_date,sku,units_sold,unit_price_eur,source_retailer,total_revenue_eur
2026-01-09,SKU-1001,42,31.65,retailer_a,1329.3
2026-02-06,SKU-1004,44,18.65,retailer_a,820.6
2026-02-24,SKU-1004,47,11.15,retailer_a,524.05
2026-02-21,SKU-1002,49,27.51,retailer_a,1347.99
2026-02-18,SKU-1004,36,19.31,retailer_a,695.16
2026-01-05,SKU-1002,44,18.74,retailer_a,824.56
2026-01-17,SKU-1004,19,47.05,retailer_a,893.95
2026-01-08,SKU-1004,36,46.88,retailer_a,1687.68
2026-02-01,SKU-1001,12,35.16,retailer_a,421.92
2026-02-18,SKU-1003,8,39.72,retailer_a,317.76
2026-01-29,SKU-1004,33,43.19,retailer_a,1425.27
2026-01-31,SKU-1002,20,21.36,retailer_a,427.2
2026-02-11,SKU-1004,33,25.72,retailer_a,848.76
2026-01-25,SKU-1001,31,19.7,retailer_a,610.7
2026-02-20,SKU-1004,27,36.58,retailer_a,987.66
2026-01-14,SKU-1003,36,45.3,retailer_a,1630.8
2026-01-07,SKU-1003,6,27.55,retailer_a,165.3
2026-02-01,SKU-1001,50,16.54,retailer_a,827.0
2026-01-02,SKU-1004,24,29.58,retailer_a,709.92
2026-02-27,SKU-1001,31,11.73,retailer_a,363.63
2026-02-23,SKU-1004,42,16.8,retailer_a,705.6
2026-01-25,SKU-1002,1,40.81,retailer_a,40.81
2026-01-28,SKU-1002,26,30.54,retailer_a,794.04
2026-02-08,SKU-1003,30,46.38,retailer_a,1391.4
2026-02-18,SKU-1001,25,41.34,retailer_a,1033.5
2026-02-19,SKU-1002,34,41.09,retailer_a,1397.06
2026-01-01,SKU-1002,28,47.98,retailer_a,1343.44
2026-02-14,SKU-1004,24,32.79,retailer_a,786.96
2026-01-29,SKU-1002,33,26.53,retailer_a,875.49
2026-01-18,SKU-1003,27,23.83,retailer_a,643.41
2026-02-16,SKU-1003,30,33.98,retailer_a,1019.4
2026-02-21,SKU-1002,41,17.08,retailer_a,700.28
2026-01-15,SKU-1002,6,41.93,retailer_a,251.58
2026-02-07,SKU-1003,3,43.66,retailer_a,130.98
2026-03-02,SKU-1001,6,44.71,retailer_a,268.26
2026-01-07,SKU-1004,1,40.16,retailer_a,40.16
2026-02-27,SKU-1003,16,20.74,retailer_a,331.84
2026-01-21,SKU-1002,23,21.6,retailer_a,496.8
2026-01-02,SKU-1002,11,20.2,retailer_a,222.2
2026-01-02,SKU-1002,43,20.91,retailer_a,899.13
2026-01-07,SKU-1001,28,46.42,retailer_c,1299.76
2026-02-20,SKU-1004,35,46.36,retailer_c,1622.6
2026-01-03,SKU-1003,36,20.13,retailer_c,724.68
2026-02-22,SKU-1004,21,14.0,retailer_c,294.0
2026-01-19,SKU-1003,3,11.08,retailer_c,33.24
2026-01-01,SKU-1003,47,33.85,retailer_c,1590.95
2026-02-09,SKU-1004,26,22.52,retailer_c,585.52
2026-02-12,SKU-1001,5,46.53,retailer_c,232.65
2026-01-01,SKU-1004,8,19.99,retailer_c,159.92
2026-01-06,SKU-1004,43,24.22,retailer_c,1041.46
2026-01-27,SKU-1002,35,18.3,retailer_c,640.5
2026-01-08,SKU-1002,16,24.41,retailer_c,390.56
2026-02-22,SKU-1003,6,49.33,retailer_c,295.98
2026-02-26,SKU-1004,6,36.07,retailer_c,216.42
2026-02-20,SKU-1003,15,25.61,retailer_c,384.15
2026-01-03,SKU-1003,3,23.08,retailer_c,69.24
2026-01-13,SKU-1003,38,45.73,retailer_c,1737.74
2026-01-16,SKU-1003,16,23.36,retailer_c,373.76
2026-02-20,SKU-1001,16,18.8,retailer_c,300.8
2026-02-07,SKU-1002,26,12.88,retailer_c,334.88
2026-01-27,SKU-1001,47,13.0,retailer_c,611.0
2026-01-11,SKU-1001,19,40.02,retailer_c,760.38
2026-01-08,SKU-1003,32,28.74,retailer_c,919.68
2026-01-29,SKU-1002,7,30.05,retailer_c,210.35
2026-01-11,SKU-1003,5,30.36,retailer_c,151.8
2026-02-13,SKU-1002,12,41.04,retailer_c,492.48
2026-01-16,SKU-1002,21,22.21,retailer_c,466.41
2026-01-11,SKU-1003,9,45.74,retailer_c,411.66
2026-02-17,SKU-1002,35,46.41,retailer_c,1624.35
2026-02-24,SKU-1001,50,22.63,retailer_c,1131.5
2026-02-15,SKU-1004,35,43.28,retailer_b,1514.8
2026-01-19,SKU-1004,15,30.95,retailer_b,464.25
2026-01-30,SKU-1001,26,36.99,retailer_b,961.74
2026-02-14,SKU-1003,43,35.23,retailer_b,1514.89
2026-01-21,SKU-1001,48,21.93,retailer_b,1052.64
2026-02-01,SKU-1002,4,22.25,retailer_b,89.0
2026-01-31,SKU-1001,20,46.68,retailer_b,933.6
2026-01-08,SKU-1003,48,16.32,retailer_b,783.36
2026-01-02,SKU-1003,9,10.33,retailer_b,92.97
2026-01-20,SKU-1001,38,42.77,retailer_b,1625.26
2026-01-25,SKU-1004,11,43.11,retailer_b,474.21
2026-01-22,SKU-1001,25,18.01,retailer_b,450.25
2026-01-27,SKU-1001,14,32.93,retailer_b,461.02
2026-02-20,SKU-1004,38,17.75,retailer_b,674.5
2026-01-13,SKU-1001,43,25.59,retailer_b,1100.37
2026-01-17,SKU-1004,2,23.0,retailer_b,46.0
2026-01-07,SKU-1004,19,10.71,retailer_b,203.49
2026-01-17,SKU-1002,21,42.44,retailer_b,891.24
2026-02-27,SKU-1002,22,27.16,retailer_b,597.52
2026-02-16,SKU-1003,44,13.85,retailer_b,609.4
2026-02-02,SKU-1004,36,23.74,retailer_b,854.64
2026-01-14,SKU-1004,50,49.41,retailer_b,2470.5
